name,latitude,longitude,population,country,sunrise,sunset,solar_noon,day_length,civil_twilight_begin,civil_twilight_end,calculation_date,data_source
Tokyo,35.6762,139.6503,37400068,Japan,2025-05-30T19:27:34.812136+00:00,2025-05-30T09:50:15.176924+00:00,2025-05-30T02:38:55+00:00,,,,2025-05-30,local
Delhi,28.7041,77.1025,28514000,India,2025-05-30T23:54:21.631878+00:00,2025-05-30T13:43:56.932447+00:00,2025-05-30T06:49:07+00:00,,,,2025-05-30,local
Shanghai,31.2304,121.4737,24256800,China,2025-05-30T20:51:12.611246+00:00,2025-05-30T10:52:04.695742+00:00,2025-05-30T03:51:38+00:00,,,,2025-05-30,local
São Paulo,-23.5505,-46.6333,21650000,Brazil,2025-05-30T09:40:35.670919+00:00,2025-05-30T20:27:35.157774+00:00,2025-05-30T15:04:04+00:00,,,,2025-05-30,local
Mexico City,19.4326,-99.1332,21581000,Mexico,2025-05-30T11:57:57.583437+00:00,2025-05-30T01:10:08.368275+00:00,2025-05-30T18:34:03+00:00,,,,2025-05-30,local
